Words			Original Roots		Predicted roots
رہے		رہ			رہ
تھے		تھا			تھا
تاہم		تاہم			تاہم
انہوں		وہ			وہ
نے		نے			نے
ان		یہ			یہ
ارکان		رکن			رکن
کو		کو			کو
اظہار		اظہار			اظہارہ
خیال		خیال			خیال
کا		کا			کا
موقع		موقع			موقع
دیا		دے			دے
۔		۔			۔
جب		جب			جب
مسٹر		مسٹر			مسٹر
جوشی		جوشی			جوشی
نے		نے			نے
ان		یہ			یہ
الزامات		الزام			الزام
پر		پر			پر
کوئی		کوئی			کوئیی
ردعمل		ردعمل			ردعمل_
ظاہر		ظاہر			ظاہرہہ
نہیں		نہیں			نہیں
کیا		کر			کر
تو		تو			تو
ان		یہ			یہ
کے		کا			کا
ساتھی		ساتھی			ساتھی
مسٹر		مسٹر			مسٹر
یشونت		یشونت			یشونت
سنہا		سنہا			سنہا
نے		نے			نے
مسٹر		مسٹر			مسٹر
جوشی		جوشی			جوشی
کی		کا			کا
مدافعت		مدافعت			مدافعتت
کی		کا			کا
کوشش		کوشش			کوشششش
کی		کر			کا
۔		۔			۔
یو		یو			یو
پی		پی			پی
اے		اے			اے
اےک		اےک			اےک
حکمت		حکمت			حکمت
عملی		عملی			عملی
کے		کے			کا
ساتھ		ساتھ			ساتھ
آئے		آ			آ
تھے		تھا			تھا
اور		اور			اور
انہوں		وہ			وہ
نے		نے			نے
تحریر		تحریر			تحریر
مےں		مےں			مےں
مطالبہ		مطالبہ			مطالبہطبطططط
کیا		کر			کر
کہ		کہ			کہ
رپورٹ		رپورٹ			رپورٹس
کو		کو			کو
مسترد		مسترد			مسترد
کرتے		کر			کر
ہوئے		ہو			ہو
اس		یہ			یہ
پر		پر			پر
رائے_دہی		رائے_دہی			رائیددیی
کروائی		کروا			کروا
جائے		جا			جا
۔		۔			۔
سماجوادی		سماجوادی			سماجوادی
پارٹی		پارٹی			پارٹی
اور		اور			اور
بی		بی			بی
ایس		ایس			ایس
پی		پی			پی
رکن		رکن			رکن
سمیت		سمیت			سمیتی
گیارہ		گیارہ			گیارہہہ
ارکان		رکن			رکن
نے		نے			نے
تحریری		تحریری			تحریری
درخواست		درخواست			درخواست
مےں		مےں			مےں
کہا		کہہ			کہہ
کہ		کہ			کہ
وہ		وہ			وہ
اس		یہ			یہ
مسودہ		مسودہ			مسودہہ
رپورٹ		رپورٹ			رپورٹس
کو		کو			کو
,		,			,
جسے		جو			جو
صدرنشین		صدرنشین			صدرنشین
کی		کا			کا
جانب		جانب			جانب
سے		سے			سے
گشت		گشت			گشتفففف
کروایا		کروا			کروا
گیا		جا			جا
ہے		ہے			ہے
,		,			,
مسترد		مسترد			مسترد
کرتے		کر			کر
ہےں		ہے			ہے
۔		۔			۔
صورتحال		صورتحال			صورتحال
کو		کو			کو
دیکھتے		دیکھ			دیکھ
ہوئے		ہو			ہو
مسٹر		مسٹر			مسٹر
جوشی		جوشی			جوشی
نے		نے			نے
دو		دو			دو
بجے		بج			بج
دن		دن			دن
اجلاس		اجلاس			اجلاس
کو		کو			کو
لنچ		لنچ			لنچ
کے		کے			کا
لئے		لئے			لئے
ملتوی		ملتوی			ملتویو
کرتے		کر			کر
ہوئے		ہو			ہو
آئندہ		آئندہ			آئندہہ
سشن		سشن			سشنشپ
چار		چار			چار
بجے		بج			بج
منعقد		منعقد			منعقد
کیا		کر			کر
۔		۔			۔
جیسے		جیسے			جیسے
ہی		ہی			ہی
اجلاس		اجلاس			اجلاس
دوبارہ		دوبارہ			دوبارہہ
شروع		شروع			شروع
ہوا		ہو			ہو
کانگریس		کانگریس			کانگریس
لیڈر		لیڈر			لیڈرو
سیف		سیف			سیف
الدین		الدین			الدین
سوز		سوز			سوز
نے		نے			نے
قرارداد		قرارداد			قرارداد
پیش		پیش			پیشش
کرتے		کر			کر
ہوئے		ہو			ہو
مطالبہ		مطالبہ			مطالبہطبطططط
کیا		کر			کر
کہ		کہ			کہ
صدرنشین		صدرنشین			صدرنشین
کے		کا			کا
مسودہ		مسودہ			مسودہہ
کو		کو			کو
مسترد		مسترد			مسترد
کر		کر			کر
دیا		دے			دے
جائے		جا			جا
۔		۔			۔
ہنگامہ		ہنگامہ			ہنگامہ
شروع		شروع			شروع
ہوا		ہو			ہو
اور		اور			اور
دونوں		دو			دو
جانب		جانب			جانب
سے		سے			سے
سخت		سخت			سختف
الفاظ		الفاظ			الفظ
کا		کا			کا
تبادلہ		تبادلہ			تبادلہہ
بھی		بھی			بھی
عمل		عمل			عمل
مےں		مےں			مےں
آیا		آ			آ
اور		اور			اور
چند		چند			چند
ہی		ہی			ہی
لمحوں		لمحہ			لمحہ
مےں		مےں			مےں
اجلاس		اجلاس			اجلاس
ملتوی		ملتوی			ملتویو
ہو		ہو			ہو
گیا		جا			جا
۔		۔			۔
مسٹر		مسٹر			مسٹر
جوشی		جوشی			جوشی
نے		نے			نے
یہ		یہ			یہ
ادعا		ادعا			ادعا
کیا		کر			کر
ہے		ہے			ہے
کہ		کہ			کہ
انہوں		وہ			وہ
نے		نے			نے
اجلاس		اجلاس			اجلاس
کو		کو			کو
ملتوی		ملتوی			ملتویو
کیا		کر			کر
ہے		ہے			ہے
جبکہ		جبکہ			جبکہی
یو		یو			یو
پی		پی			پی
اے		اے			اے
ارکان		رکن			رکن
کا		کا			کا
کہنا		کہہ			کہہہ
ہے		ہے			ہے
کہ		کہ			کہ
صدرنشین		صدرنشین			صدرنشین
کمیٹی		کمیٹی			کمیٹی
اجلاس		اجلاس			اجلاس
سے		سے			سے
واک		واک			واک
آوٹ		آوٹ			آوٹ
کر		کر			کر
گئے		جا			جا
اور		اور			اور
فرار		فرار			فرارر
ہو		ہو			ہو
گئے		جا			جا
ان		یہ			یہ
کے		کے			کا
ساتھ		ساتھ			ساتھ
اپوزیشن		اپوزیشن			اپوزیشن
ارکان		رکن			رکن
بھی		بھی			بھی
چلے		چل			چل
گئے		جا			جا
۔		۔			۔
اےک		اےک			اےک
غیرمتوقع		غیرمتوقع			غیرہ_قع
ڈرامائی		ڈرامائی			ڈرامائ
تبدیلی		تبدیلی			تبدیلیت
مےں		مےں			مےں
یو		یو			یو
پی		پی			پی
اے		اے			اے
کے		کے			کا
علاوہ		علاوہ			علاوہ
بی		بی			بی
ایس		ایس			ایس
پی		پی			پی
اور		اور			اور
سماجوادی		سماجوادی			سماجوادی
ارکان		رکن			رکن
نے		نے			نے
آج		آج			آج
کے		کا			کا
اجلاس		اجلاس			اجلاس
کے		کے			کا
لئے		لئے			لئے
مسٹر		مسٹر			مسٹر
سوز		سوز			سوز
کو		کو			کو
اپنا		اپنا			اپنا
صدرنشین		صدرنشین			صدرنشین
منتخب		منتخب			منتخب
کر		کر			کر
لیا		لے			لے
اور		اور			اور
انہوں		وہ			وہ
نے		نے			نے
متفقہ		متفقہ			متفقہ
طور		طور			طور
پر		پر			پر
رپورٹ		رپورٹ			رپورٹس
کے		کا			کا
مسودہ		مسودہ			مسودہہ
کو		کو			کو
مسترد		مسترد			مسترد
کر		کر			کر
دیا		دے			دے
ہے		ہے			ہے
۔		۔			۔
کانگریس		کانگریس			کانگریس
ارکان		ارکان			رکن
پارلیمنٹ		پارلیمنٹ			پارلیمنٹ
کا		کا			کا
ادعا		ادعا			ادعا
تھا		تھا			تھا
کہ		کہ			کہ
سیف		سیف			سیف
الدین		الدین			الدین
سوز		سوز			سوز
منتخبہ		منتخبہ			منتخبہ
صدرنشین		صدرنشین			صدرنشین
تھے		تھا			تھا
اور		اور			اور
مسٹر		مسٹر			مسٹر
جوشی		جوشی			جوشی
اجلاس		اجلاس			اجلاس
سے		سے			سے
فرار		فرار			فرارر
ہو		ہو			ہو
گئے		جا			جا
اور		اور			اور
انہوں		وہ			وہ
نے		نے			نے
اس		یہ			یہ
مسئلہ		مسئلہ			مسئلہہ
پر		پر			پر
رائےدہی		رائےدہی			رائیدہیہہ
کا		کا			کا
مطالبہ		مطالبہ			مطالبہطبطططط
قبول		قبول			قبول
نہیں		نہیں			نہیں
کیا		کر			کر
۔		۔			۔
قوانین		قوانین			قوانی
کے		کے			کا
مطابق		مطابق			مطابقطباا
کسی		کوئی			کوئییییییییییییییی
بھی		بھی			بھی
فینانشیل		فینانشیل			فینانیین
کمیٹی		کمیٹی			کمیٹی
کے		کا			کا
صدرنشین		صدرنشین			صدرنشین
کا		کا			کا
تقرر		تقرر			تقررر
اسپیکر		اسپیکر			اسپیکر
لوک		لوک			لوک
سبھا		سبھا			سبھا
کی		کا			کا
جانب		جانب			جانب
سے		سے			سے
کیا		کر			کر
جاتا		جا			جا
ہے		ہے			ہے
اور		اور			اور
یہ		یہ			یہ
رکن		رکن			رکن
لوک		لوک			لوک
سبھا		سبھا			سبھا
کا		کا			کا
ہوتا		ہو			ہو
ہے		ہے			ہے
جبکہ		جبکہ			جبکہی
مسٹر		مسٹر			مسٹر
سوز		سوز			سوز
راجیہ		راجیہ			راجیہہ
سبھا		سبھا			سبھا
رکن		رکن			رکن
ہیں		ہے			ہے
۔		۔			۔
سیف		سیف			سیف
الدین		الدین			الدین
سوز		سوز			سوز
نے		نے			نے
کہا		کہہ			کہہ
کہ		کہ			کہ
یہ		یہ			یہ
عجیب		عجیب			عجیببببب
و		و			و
غریب		غریب			غریبیی
صورت_حال		صورت_حال			صورت_حالہ
ہے		ہے			ہے
جس		جو			جو
مےں		مےں			مےں
صدرنشین		صدرنشین			صدرنشین
نے		نے			نے
راہ		راہ			راہر
فرار		فرار			فرارر
اختیار		اختیار			اختیار
کی		کر			کا
۔		۔			۔
انہوں		وہ			وہ
نے		نے			نے
کہا		کہہ			کہہ
کہ		کہ			کہ
اسپیکر		اسپیکر			اسپیکر
سے		سے			سے
مشاورت		مشاورت			مشاورت
کے		کے			کا
بعد		بعد			بعد
مزید		مزید			مزید
کارروائی		کارروائی			کارروائی
کی		کر			کا
جائیگی		جا			جا
۔		۔			۔
صورت_حال		صورت_حال			صورت_حالہ
پر		پر			پر
احتجاجی		احتجاجی			احتجاجی
موقف		موقف			موقف
رکھنے		رکھ			رکھھ
والے		والا			والا
مسٹر		مسٹر			مسٹر
جوشی		جوشی			جوشی
نے		نے			نے
آج		آج			آج
کے		کا			کا
اجلاس		اجلاس			اجلاس
کی		کا			کا
کارروائی		کارروائی			کارروائی
کی		کا			کا
اہمیت		اہمیت			اہمیتت
پر		پر			پر
سوال		سوال			سوال
کیا		کر			کر
اور		اور			اور
کہا		کہہ			کہہ
کہ		کہ			کہ
انہوں		وہ			وہ
نے		نے			نے
اجلاس		اجلاس			اجلاس
کو		کو			کو
ملتوی		ملتوی			ملتویو
کر		کر			کر
دیا		دے			دے
تھا		تھا			تھا
۔		۔			۔
ان		یہ			یہ
کا		کا			کا
کہنا		کہہ			کہہہ
تھا		تھا			تھا
کہ		کہ			کہ
مناسب		مناسب			مناسب
طریقہ_کار		طریقہ_کار			طریقہ_کار
اختیار		اختیار			اختیار
کئے		کر			کرئ
بغیر		بغیر			بغیر
کسی		کوئی			کوئییییییییییییییی
طرح		طرح			طرحر
کی		کا			کا
رائے_دہی		رائے_دہی			رائیددیی
نہیں		نہیں			نہیں
ہو		ہو			ہو
سکتی		سک			سکی
۔		۔			۔
انہوں		وہ			وہ
نے		نے			نے
کہا		کہہ			کہہ
کہ		کہ			کہ
اجلاس		اجلاس			اجلاس
کے		کا			کا
التوا		التوا			التوا
کے		کے			کا
بعد		بعد			بعد
کسی		کوئی			کوئییییییییییییییی
صدرنشین		صدرنشین			صدرنشین
کا		کا			کا
انتخاب		انتخاب			انتخاب
عمل		عمل			عمل
مےں		مےں			مےں
نہیں		نہیں			نہیں
آ		آ			آ
سکتا		سک			سک
اور		اور			اور
اس		یہ			یہ
مسئلہ		مسئلہ			مسئلہہ
پر		پر			پر
اسپیکر		اسپیکر			اسپیکر
لوک		لوک			لوک
سبھا		سبھا			سبھا
سے		سے			سے
بات		بات			بات
کی		کر			کا
جانی		جا			جای
چاہئے		چاہئے			چاہئےےےےےے
۔		۔			۔
انہوں		وہ			وہ
نے		نے			نے
کہا		کہہ			کہہ
کہ		کہ			کہ
آج		آج			آج
کے		کا			کا
واقعات		واقعہ			واقع
دراصل		دراصل			دراصل
لوک		لوک			لوک
سبھا		سبھا			سبھا
سیکریٹریٹ		سیکریٹریٹ			سیکریٹریٹ
پر		پر			پر
شبہات		شبہات			شبہا
ظاہر		ظاہر			ظاہرہہ
کرنے		کر			کر
کے		کا			کا
مترادف		مترادف			مترادف
ہیں		ہے			ہے
۔		۔			۔
یہاں		یہاں			یہاں
یہ		یہ			یہ
تذکرہ		تذکرہ			تذکرہہہہ
ضروری		ضروری			ضروری
ہے		ہے			ہے
کہ		کہ			کہ
گزشتہ		گزشتہ			گزشتہگ
دس		دس			دس
دن		دن			دن
کے		کے			کا
دوران		دوران			دوران
اس		یہ			یہ
محلہ		محلہ			محلہہ
مےں		مےں			مےں
موٹر		موٹر			موٹر
سائیکلوں		سائیکل			سائیکل
کی		کا			کا
چوری		چوری			چوری
کی		کا			کا
یہ		یہ			یہ
چوتھی		چوتھا			چوتھ
واردات		واردات			واردا
ہے		ہے			ہے
۔		۔			۔
انھوں		وہ			وہ
نے		نے			نے
کہا		کہہ			کہہ
کہ		کہ			کہ
ترقی		ترقی			ترقی
کا		کا			کا
اہم		اہم			اہم
ذریعہ		ذریعہ			ذریعہہہہہہہ
تعلیم		تعلیم			تعلیمی
ہے		ہے			ہے
اور		اور			اور
یو		یو			یو
پی		پی			پی
اے		اے			اے
سرکار		سرکار			سرکارہ
کو		کو			کو
اس		یہ			یہ
کا		کا			کا
احساس		احساس			احساس
ہے		ہے			ہے
۔		۔			۔
انھوں		وہ			وہ
نے		نے			نے
مزید		مزید			مزید
بتایا		بتا			بتا
کہ		کہ			کہ
مرکزی		مرکزی			مرکزی
حکومت		حکومت			حکومت
نے		نے			نے
اعلیٰ		اعلیٰ			اعلیٰح
تعلیم		تعلیم			تعلیمی
کے		کے			کا
لئے		لئے			لئے
گزشتہ		گزشتہ			گزشتہگ
سال		سال			سال
سے		سے			سے
24		24			24
فیصد		فیصد			فیصد
زیادہ		زیادہ			زیادہہہہ
رقم		رقم			رقم
مختص		مختص			مختصت
کر		کر			کر
رکھی		رکھ			رکھھ
ہے		ہے			ہے
۔		۔			۔
چونکہ		چونکہ			چونکہہ
تعلیم		تعلیم			تعلیمی
حاصل		حاصل			حاصل
کرنا		کر			کر
بچوں		بچہ			بچہ
کا		کا			کا
حق		حق			حق
ہے		ہے			ہے
،		،			،
اس		یہ			یہ
لئے		لئے			لئے
سروا		سروا			سروا
سکھشا		سکھشا			سکھش
ابھیان		ابھیان			ابھین
(		(			(
تعلیم		تعلیم			تعلیمی
سب		سب			سب
کے		کے			کا
لئے		لئے			لئے
)		)			)
پروگرام		پروگرام			پروگرام
کامیابی		کامیابی			کامیابی
کے		کے			کا
ساتھ		ساتھ			ساتھ
نافذ		نافذ			نافذف
کرنے		کر			کر
کے		کے			کا
لئے		لئے			لئے
ریاست		ریاست			ریاست
کرناٹک		کرناٹک			کرناٹک
کو		کو			کو
21		21			21
ہزار		ہزار			ہزارر
کروڑ		کروڑ			کروڑڑ
روپئے		روپیہ			روپیہررہہہہ
مختص		مختص			مختصت
کئے		کر			کرئ
گئے		جا			جا
ہیں		ہے			ہے
۔		۔			۔
انھوں		وہ			وہ
نے		نے			نے
بتایا		بتا			بتا
کہ		کہ			کہ
کیندریہ		کیندریہ			کیندریہہ
یونیورسٹی		یونیورسٹی			یونیورسٹی
کی		کا			کا
ملک		ملک			ملکککک
مےں		مےں			مےں
جملہ		جملہ			جملہہ
1073		1073			1073
برانچس		برانچ			برانچس
ہےں		ہے			ہے
جن		جو			جو
مےں		مےں			مےں
11		11			11
ہزار		ہزار			ہزارر
طلبا		طلبا			طلباببببب
زیر		زیر			زیریی
تعلیم		تعلیم			تعلیمی
ہیں		ہے			ہے
۔		۔			۔
علاوہ_ازیں		علاوہ			علاوہ_از
پچاس		پچاس			پچاس
ہزار		ہزار			ہزارر
طلبا		طلبا			طلباببببب
مختلف		مختلف			مختلفللل
شعبہ_جات		شعبہ			شعبہ_جاتہ
مےں		مےں			مےں
برسر		برسر			برسر
روزگار		روزگار			روزگار
ہیں		ہے			ہے
۔		۔			۔
محمد		محمد			محمدد
اکرام		اکرام			اکرا
الدین		الدین			الدین
صدر		صدر			صدر
الامین		الامین			الامین
ڈسٹرکٹ		ڈسٹرکٹ			ڈسٹرکٹ
کمیٹی		کمیٹی			کمیٹی
نے		نے			نے
کہا		کہہ			کہہ
ہے		ہے			ہے
کہ		کہ			کہ
این		این			این
ایس		ایس			ایس
ایس		ایس			ایس
کیمپ		کیمپ			کیمپ
سے		سے			سے
طلبا		طلبا			طلباببببب
کو		کو			کو
جوڑنے		جوڑ			جوڑھ
کا		کا			کا
مقصد		مقصد			مقصد
ان		وہ			یہ
مےں		مےں			مےں
سماجی		سماجی			سماجی
خدمات		خدمت			خدمت
کے		کا			کا
جذبے		جذبہ			جذبہئ
کو		کو			کو
فروغ		فروغ			فروغہہہہ
دینا		دے			دے
ہے		ہے			ہے
۔		۔			۔
موصوف		موصوف			موصوف
شہر		شہر			شہرررشش
کے		کا			کا
مضافات		مضافات			مضاف
مےں		مےں			مےں
گنبدانِ		گنبدانِ			گنبدانخ
سلاطین		سلطان			سلاطین
بہمنی		بہمنی			بہمنی
کے		کا			کا
دامن		دامن			دامن
مےں		مےں			مےں
منعقدکردہ		منعقدکردہ			منعقدکردہ
الامین		الامین			الامین
این		این			این
ایس		ایس			ایس
ایس		ایس			ایس
کیمپ		کیمپ			کیمپ
کے		کا			کا
اختتامی		اختتامی			اختتامی
اجلاس		اجلاس			اجلاس
کو		کو			کو
مخاطب		مخاطب			مخاطبقحح
کر		کر			کر
رہے		رہ			رہ
تھے		تھا			تھا
۔		۔			۔
جناب		جناب			جناب
سید		سید			سید
محبوب		محبوب			محبوبب
علی		علی			علی
جنرل		جنرل			جنرل
سکریٹری		سکریٹری			سکریٹری
الامین		الامین			الامین
ڈسٹرکٹ		ڈسٹرکٹ			ڈسٹرکٹ
کمیٹی		کمیٹی			کمیٹی
نے		نیاپنی			نے
اپنی		اپنا			اپنا
تقریر		تقریر			تقریر
مےں		مےں			مےں
بتایا		بتا			بتا
کہ		کہ			کہ
سماجی		سماجی			سماجی
خدمت		خدمت			خدمتت
بھی		بھی			بھی
اےک		اےک			اےک
اہم		اہم			اہم
فریضہ		فریضہ			فریضہی
ہے		ہے			ہے
۔		۔			۔
طلبا		طلبا			طلباببببب
برادری		برادری			برادری
جو		جو			جو
کسی		کوئی			کوئییییییییییییییی
بھی		بھی			بھی
قوم		قوم			قوم
کے		کا			کا
مستقبل		مستقبل			مستقبلللل
کی		کا			کا
ضمانت		ضمانت			ضمانت
ہوتے		ہو			ہو
ہےں		ہے			ہے
،		،			،
انھیں		وہ			وہ
اپنے		اپنا			اپنا
تئیں		تئیں			تئی
بیدار		بیدار			بیدارہ
رہنے		رہ			رہ
کی		کا			کا
ضرورت		ضرورت			ضرورت
ہے		ہے			ہے
۔		۔			۔
انھوں		وہ			وہ
نے		نے			نے
معاشرے		معاشرہ			معاشرہہ
مےں		مےں			مےں
پھیلی		پھیلا			پھیلیی
ہوئی		ہو			ہو
برائیوں		برائی			برائی
کو		کو			کو
دور		دور			دور
کرنے		کر			کر
،		،			،
غریب		غریب			غریبیی
اور		اور			اور
پسماندہ		پسماندہ			پسماندہ
افراد		فرد			فرد
کی		کا			کا
مدد		مدد			مدد
کرنے		کر			کر
،		،			،
برائیوں		برائی			برائی
اور		اور			اور
اخلاقی		اخلاقی			اخلاقی
بگاڑ		بگاڑ			بگاڑگ
سے		سے			سے
دور		دور			دور
اور		اور			اور
اپنی		اپنا			اپنا
شخصیت_سازی		شخصیت_سازی			شخصیت_سازی
کو		کو			کو
فروغ		فروغ			فروغہہہہ
دینے		دے			دے
کی		کا			کا
اہمیت		اہمیت			اہمیتت
پر		پر			پر
زور		زور			زور
دیتے		دے			دے
ہوئے		ہو			ہو
طلبا		طلبا			طلباببببب
کو		کو			کو
بتایا		بتا			بتا
کہ		کہ			کہ
یہ		یہ			یہ
تمام		تمام			تمام
کام		کام			کام
سماجی		سماجی			سماجی
خدمت		خدمت			خدمتت
کے		کے			کا
تحت		تحت			تحتفففح
آتے		آ			آ
ہیں		ہے			ہے
۔		۔			۔
لہٰذا		لہٰذا			لہذذاررزرز
طلبا		طلبا			طلباببببب
کے		کے			کا
لئے		لئے			لئے
ضروری		ضروری			ضروری
ہے		ہے			ہے
کہ		کہ			کہ
وہ		وہ			وہ
اپنی		اپنا			اپنا
عملی		عملی			عملی
زندگی		زندگی			زندگیگ
مےں		مےں			مےں
ان		یہ			یہ
معاملات		معاملہ			معاملہ
کی		کا			کا
انجام_دہی		انجام_دہی			انجامددہی
کو		کو			کو
اپنا		اپنا			اپنا
فرض		فرض			فرض
عین		عین			عین
سمجھیں		سمجھ			سمجھ
۔		۔			۔
پروفیسر		پروفیسر			پروفیسری
محمد		محمد			محمدد
مقبول		مقبول			مقبولی
احمد		احمد			احمد
پرنسپال		پرنسپال			پرسسپال
الامین		الامین			الامین
ڈگری		ڈگری			ڈگریگف
کالج		کالج			کالج
بیدر		بیدر			بیدر
کی		کا			کا
زیر		زیر			زیریی
صدارت		صدارت			صدارتت
منعقدہ		منعقدہ			منعقدہ
اجلاس		اجلاس			اجلاس
ہذا		ہذا			ہذاہ
کی		کا			کا
کارروائی		کارروائی			کارروائی
کا		کارروائی			کا
محترمہ		محترمہ			محترمہم
ثمرین		ثمرین			ثمرینی
سلطانہ		سلطانہ			سلطانہ
بی		بی			بی
اے		اے			اے
سال		سال			سال
اول		اول			اول
نے		نے			نے
استقبال		استقبال			استقبال
کیا		کر			کر
اور		اور			اور
نظامت		نظامت			نظامت
کے		کا			کا
فرائض		فرض			فرائض
انجام		انجام			انجام
دیئے		دے			دے
۔		۔			۔
محترمہ		محترمہ			محترمہم
آمنہ		آمنہ			آمنہپپپپپ
بیگم		بیگم			بیگمی
طالبہ		طالبہ			طالبہ__
سال		سال			سال
دوم		دوم			دوم
نے		نے			نے
سات		سات			سات
روزہ		روزہ			روزہہ
کیمپ		کیمپ			کیمپ
سے		سے			سے
متعلق		متعلق			متعلقللللل
اپنے		اپنا			اپنا
تاثرات		تاثر			تاثر
بیان		بیان			بیان
کئے		کر			کرئ
۔		۔			۔
این		این			این
ایس		ایس			ایس
ایس		ایس			ایس
آفیسر		آفیسر			آفیسر
محمد		محمد			محمدد
یاسر		یاسر			یاسر
حسین		حسین			حسین
نے		نے			نے
شکریہ		شکریہ			شکریہی
ادا		ادا			ادا
کیا		کر			کر
۔		۔			۔
افضل		افضل			افضل
پورہ		پورہ			پورہررپپپ
بیرون		بیرون			بیرونی
شاہ		شاہ			شاہش
گنج		گنج			گنجو
بیدر		بیدر			بیدر
مےں		مےں			مےں
موٹر		موٹر			موٹر
سائیکل		سائیکل			سائیکللللللل
نمبر		نمبر			نمبر
(		(			(
ap11		ap11			1111
-		-			-
H		H			U
-		-			-
1801		1801			1801
)		)			)
کے		کا			کا
سرقہ		سرقہ			سرقہ___
کا		کا			کا
واقعہ		واقعہ			واقعہہہہہہہ
پیش		پیش			پیشش
آیا		آ			آ
۔		۔			۔
موٹر		موٹر			موٹر
سائیکل		سائیکل			سائیکللللللل
مالک		مالک			مالک
محمد		محمد			محمدد
صلاح		صلاح			صلاحح
الدین		الدین			الدین
کی		کا			کا
شکایت		شکایت			شکایت
پر		پر			پر
پولیس		پولیس			پولیس
مارکٹ		مارکٹ			مارکٹ
نے		نے			نے
حسب		حسب			حسب
ضابطہ		ضابطہ			ضابطہططط
کارروائی		کارروائی			کارروائی
انجام		انجام			انجام
دی		دے			دے
۔		۔			۔
یہاں		یہاں			یہاں
یہ		یہ			یہ
تذکرہ		تذکرہ			تذکرہہہہ
ضروری		ضروری			ضروری
ہے		ہے			ہے
کہ		کہ			کہ
گزشتہ		گزشتہ			گزشتہگ
دس		دس			دس
دن		دن			دن
کے		کے			کا
دوران		دوران			دوران
اس		یہ			یہ
محلہ		محلہ			محلہہ
مےں		مےں			مےں
موٹر		موٹر			موٹر
سائیکلوں		سائیکل			سائیکل
کی		کا			کا
چوری		چوری			چوری
کی		کا			کا
یہ		یہ			یہ
چوتھی		چوتھا			چوتھ
واردات		واردات			واردا
ہے		ہے			ہے
۔		۔			۔
سپرنٹنڈنٹ		سپرنٹنڈنٹ			سپرنٹنڈنٹ
پولیس		پولیس			پولیس
بیدر		بیدر			بیدر
سے		سے			سے
اہلیان		اہل			اہلیان
محلہ		محلہ			محلہہ
نے		نے			نے
خواہش		خواہش			خواہشہ
کی		کر			کا
ہے		ہے			ہے
کہ		کہ			کہ
وہ		وہ			وہ
اس		یہ			یہ
جانب		جانب			جانب
خصوصی		خصوصی			خصوصی
توجہ		توجہ			توجہہ
دیں		دے			دے
اور		اور			اور
پولیس		پولیس			پولیس
کارکردگی		کارکردگی			کارکردگیہ
کو		کو			کو
موثر		موثر			موثر
بنائیں		بنا			بنا
۔		۔			۔
شیخ		شیخ			شیخپپ
خواجہ		خواجہ			خواجہہ
معین		معین			معین
الدین		الدین			الدین
مرحوم		مرحوم			مرحوم
،		،			،
سپروائزر		سپروائزر			سپروائزر
اے		اے			اے
پی		پی			پی
ایس		ایس			ایس
آر		آر			آر
ٹی		ٹی			ٹی
سی		سی			سی
محبوب		محبوب			محبوبب
نگر		نگر			نگر
کی		کا			کا
دختر		دختر			دختر
کا		کا			کا
عقد		عقد			عقد
مسعود		مسعود			مسعود
مسٹر		مسٹر			مسٹر
کے		کے			کا
ایم		ایم			ایم
عمران		عمران			عمران
علی		علی			علی
فرزند		فرزند			فرزند
جناب		جناب			جناب
کے		کے			کا
ایم		ایم			ایم
جعفر		جعفر			جعفرہ
علی		علی			علی
موظف		موظف			موظف
صدر		صدر			صدر
مدرس		مدرس			مدرس
سے		سے			سے
30		30			30
اپریل		اپریل			اپریل
بروز		بروز			بروز
ہفتہ		ہفتہ			ہفتہہہہہہ
بعد		بعد			بعد
نماز		نماز			نماز
عشا۶		عشا۶			عشا
بمقام		بمقام			بمقام
سدرشن		سدرشن			سدرشن
گارڈن		گارڈن			گارڈنت
روبرو		روبرو			روبرو
ایل		ایل			ایل
آئی		آئی			آئی
سی		سی			سی
آفس		آفس			آفس
نزد		نزد			نزد
ریلوے		ریلوے			ریلوےی
اسٹیشن		اسٹیشن			اسٹیشن
محبوب		محبوب			محبوبب
نگر		نگر			نگر
انجام		انجام			انجام
پایا		پا			پا
۔		۔			۔
خطیب		خطیب			خطیبییی
اہل		اہل			اہل
سنت		سنت			سنتو
و		و			و
جماعت		جماعت			جماعتہ
مولانا		مولانا			مولانا
الحاج		الحاج			الحاج
قاری		قاری			قاری
شاہ		شاہ			شاہش
محمد		محمد			محمدد
مبشر		مبشر			مبشر
احمد		احمد			احمد
رضوی		رضوی			رضوی
القادری		القادری			القادری
نے		نے			نے
خطبہ		خطبہ			خطبہیی
نکاح		نکاح			نکاح
پڑھا		پڑھ			پڑھ
اور		اور			اور
عاقدین		عاقد			عاقد
کے		کا			کا
روشن		روشن			روشنششش
مستقبل		مستقبل			مستقبلللل
کے		کے			کا
لئے		لئے			لئے
دعائے		دعائے			دعائے
خیر		خیر			خیر
فرمائی		فرما			فرمای
۔		۔			۔
اس		یہ			یہ
تقریب		تقریب			تقریب
مےں		مےں			مےں
علما		عالم			علما
،		،			،
مشائخین		مشائخ			مشائوین
،		،			،
ڈاکٹرس		ڈاکٹر			ڈاکٹرس
،		،			،
انجینئرز		انجینئر			انجینئرز
اور		اور			اور
دیگر		دیگر			دیگری
سربرآوردہ		سربرآوردہ			سربرآوردہ
شخصیتوں		شخصیت			شخصیت
نے		نے			نے
